14020	07:00-15:00
13419	07:30-15:30
12359	07:30-15:30
9151	07:30-15:30
14632	07:30-15:30
9457	07:30-15:30
6047	07:30-15:30
8682	07:30-15:30
8706	07:30-15:30
16665	07:30-15:30
16055	07:30-15:30
8660	08:00-16:00
90087	08:00-16:00
90086	08:00-16:00
92879	08:00-16:00
4397	08:00-16:00
13418	08:00-16:00
3307	09:00-17:00
15959	07:30-15:30
93250	07:30-15:30
93411	07:30-15:30
4530	07:30-15:30
12416	07:30-15:30
92637	07:30-15:30
92894	07:30-15:30
12334	07:30-15:30
14040	08:00-16:00
95934	08:00-16:00
92924	08:00-16:00
13447	08:00-16:00
92888	08:30-16:30
90120	07:00-15:00
95108	07:30-15:30
90023	07:30-15:30
16664	08:00-16:00
90300	07:00-15:00
5616	07:00-15:00
95913	09:00-17:00
95105	08:00-16:00
4437	07:00-15:00
